model_year,category_name,total_sales
2016,Children Bicycles,109818.58439999998
2017,Children Bicycles,149702.73619999984
2018,Children Bicycles,32667.877600000003
2016,Comfort Bicycles,206614.73199999976
2017,Comfort Bicycles,139980.4622999999
2018,Comfort Bicycles,47424.90379999999
2016,Cruisers Bicycles,507341.83670000196
2017,Cruisers Bicycles,299083.1257000003
2018,Cruisers Bicycles,188607.66129999995
2016,Cyclocross Bicycles,430273.17100000026
2017,Cyclocross Bicycles,218854.3746999999
2018,Cyclocross Bicycles,61884.29019999999
2016,Electric Bikes,389248.7025000002
2017,Electric Bikes,235298.92189999996
2018,Electric Bikes,292137.15559999994
2016,Mountain Bikes,1540132.5240999993
2017,Mountain Bikes,956545.2557000004
2018,Mountain Bikes,218401.75390000004
2017,Road Bikes,1201325.8664
2018,Road Bikes,463772.62160000013
