category_name,year,total_sales,growth_rate
Children Bicycles,2017,146905.47,67.55
Children Bicycles,2018,57602.86,-60.79
Comfort Bicycles,2017,165814.58,7.33
Comfort Bicycles,2018,73718.34,-55.54
Cruisers Bicycles,2017,380558.33,-0.15
Cruisers Bicycles,2018,233342.91,-38.68
Cyclocross Bicycles,2017,294834.97,-11.89
Cyclocross Bicycles,2018,81549.23,-72.34
Electric Bikes,2017,292075.12,4.25
Electric Bikes,2018,344440.59,17.93
Mountain Bikes,2017,1120941.67,-5.75
Mountain Bikes,2018,404855.46,-63.88
Road Bikes,2018,619020.4,-40.82
