customer_id,purchase_frequency,avg_order_value,preferred_categories,customer_segment
905,1,12089.981399999999,7,Medium Value
329,1,9499.981,5,Medium Value
1445,1,7999.984,6,Medium Value
390,1,7439.981399999999,6,Medium Value
1370,1,7439.981399999999,6,Medium Value
692,1,6910.7654999999995,7,Medium Value
503,1,6621.481,"6,7",Medium Value
700,1,6270.881699999999,"7,3",Medium Value
122,1,6222.6561,"3,2,7",Medium Value
108,1,6093.8243,"6,7,2",Medium Value
1195,1,5996.986,"7,3",Medium Value
289,1,5944.987799999999,"6,7",Medium Value
1005,1,5870.652333333334,"5,2",Medium Value
339,1,5826.652333333334,"6,7,4",Medium Value
1014,1,5699.981,5,Medium Value
1365,1,5699.981,5,Medium Value
1284,1,5649.986,7,Medium Value
534,1,5615.651333333332,"3,6,4",Medium Value
184,1,5478.688333333334,"3,7,4",Medium Value
100,1,5399.982,7,Medium Value
1312,1,5308.9865,"7,1",Medium Value
247,1,5285.235949999999,"6,7",Medium Value
867,1,5264.9815,"5,7",Medium Value
142,1,5224.9905,7,Medium Value
611,1,5219.982,6,Medium Value
917,1,5219.982,6,Medium Value
1214,1,5162.238425,"7,5",Medium Value
147,1,5161.4860499999995,6,Medium Value
908,1,5146.648933333333,"7,1",Medium Value
824,1,5066.1812,"7,1",Medium Value
238,1,5044.436425,"6,3",Medium Value
840,1,5032.635333333334,"3,6,4",Medium Value
531,1,5029.088133333334,"6,7,3",Medium Value
320,1,5023.7122500000005,"7,2",Medium Value
912,1,4949.991,7,Medium Value
356,1,4932.73635,"6,1",Medium Value
1224,1,4921.405220000001,"7,5,3",Medium Value
345,1,4864.49135,"6,7",Medium Value
663,1,4855.719,"7,5,3",Medium Value
1023,1,4832.4873,"6,7",Medium Value
598,1,4822.6917,"5,3",Medium Value
682,1,4799.9839999999995,5,Medium Value
906,1,4749.981,7,Medium Value
464,1,4713.338599999999,"6,7,5",Medium Value
75,2,4686.143742857143,"4,3,1,2,7",Medium Value
1100,1,4667.7322,"7,1",Medium Value
1425,1,4639.9839999999995,6,Medium Value
1007,1,4569.7359,"7,6,5",Medium Value
73,2,4559.098599999999,"6,7,3,2,5",Medium Value
970,1,4499.991,7,Medium Value
1196,1,4499.991,5,Medium Value
1037,1,4439.58725,"6,7",Medium Value
182,1,4436.648775,"6,4,5",Medium Value
1419,1,4399.992,7,Medium Value
1421,1,4373.735125,"7,3,1",Medium Value
383,1,4326.4846,"6,7",Medium Value
441,1,4321.9156,"6,5,3",Medium Value
310,1,4311.983133333332,"6,5",Medium Value
803,1,4289.319333333334,"6,7,1",Medium Value
955,1,4274.981,6,Medium Value
1391,1,4271.733574999999,"6,5,3",Medium Value
149,1,4237.0812,6,Medium Value
651,1,4222.536725,"5,6,7,1",Medium Value
334,1,4221.318666666667,"6,7,1",Medium Value
1403,1,4198.357666666667,"4,5,1",Medium Value
1192,1,4149.9825,6,Medium Value
95,1,4144.485233333334,"7,1",Medium Value
1090,1,4130.9849,"6,7,2",Medium Value
1103,1,4111.652333333333,"6,2",Medium Value
1332,1,4102.654233333334,"7,1",Medium Value
425,1,4101.88508,"3,6,1,7,5",Medium Value
70,2,4084.7346,"5,1,4",Medium Value
934,1,3999.9814999999994,"7,4",Medium Value
1238,1,3996.9325,"5,4",Medium Value
160,1,3987.9864999999995,6,Medium Value
322,1,3944.1512999999995,"3,6,7",Medium Value
747,1,3943.7786333333333,"6,7,5",Medium Value
96,1,3840.562,"5,4",Medium Value
462,1,3821.3193333333334,"7,5,1",Medium Value
1437,1,3799.9904999999994,6,Medium Value
415,1,3783.319133333333,"7,3,1",Medium Value
780,1,3771.3576666666663,"6,4",Medium Value
227,1,3710.746,"6,5,4,7,1",Medium Value
