category,year,total_sales,year_over_year_growth
Children Bicycles,2016,122829.17999999989,
Children Bicycles,2017,168416.34000000008,37.11427528865716
Children Bicycles,2018,36513.86999999999,-78.31928303393842
Comfort Bicycles,2016,229154.62000000043,
Comfort Bicycles,2017,156217.4900000001,-31.828784425118805
Comfort Bicycles,2018,53051.95,-66.03968608124482
Cruisers Bicycles,2016,567256.0700000016,
Cruisers Bicycles,2017,332326.37000000087,-41.41510552720926
Cruisers Bicycles,2018,209354.3900000002,-37.00337713194423
Cyclocross Bicycles,2016,481500.77000000025,
Cyclocross Bicycles,2017,248490.82000000007,-48.39243559257446
Cyclocross Bicycles,2018,69839.84999999998,-71.89439432812851
Electric Bikes,2016,434983.3000000004,
Electric Bikes,2017,258032.06000000014,-40.680007715238744
Electric Bikes,2018,327188.4900000001,26.80148738106416
Mountain Bikes,2016,1718987.9699999946,
Mountain Bikes,2017,1065945.9700000004,-37.98991100560153
Mountain Bikes,2018,245656.96000000008,-76.95408895818613
Road Bikes,2017,1335316.4699999993,
Road Bikes,2018,517180.86000000034,-61.26904208707913
