category,brand,product_count
Children Bicycles,Electra,28
Children Bicycles,Haro,4
Children Bicycles,Strider,3
Children Bicycles,Sun Bicycles,1
Children Bicycles,Trek,23
Comfort Bicycles,Electra,21
Comfort Bicycles,Sun Bicycles,9
Cruisers Bicycles,Electra,64
Cruisers Bicycles,Pure Cycles,3
Cruisers Bicycles,Sun Bicycles,11
Cyclocross Bicycles,Surly,4
Cyclocross Bicycles,Trek,6
Electric Bikes,Electra,5
Electric Bikes,Sun Bicycles,1
Electric Bikes,Trek,18
Mountain Bikes,Haro,6
Mountain Bikes,Heller,3
Mountain Bikes,Ritchey,1
Mountain Bikes,Sun Bicycles,1
Mountain Bikes,Surly,14
Mountain Bikes,Trek,35
Road Bikes,Surly,7
Road Bikes,Trek,53
