store_name,product_name,total_quantity_sold
Baldwin Bikes,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,2
Baldwin Bikes,Electra Amsterdam Fashion 7i Ladies' - 2017,31
Baldwin Bikes,Electra Amsterdam Original 3i - 2015/2017,22
Baldwin Bikes,Electra Amsterdam Original 3i Ladies' - 2017,21
Baldwin Bikes,Electra Amsterdam Royal 8i - 2017/2018,1
Baldwin Bikes,Electra Amsterdam Royal 8i Ladies - 2018,1
Baldwin Bikes,Electra Cruiser 1 (24-Inch) - 2016,211
Baldwin Bikes,Electra Cruiser 1 - 2016/2017/2018,2
Baldwin Bikes,Electra Cruiser 1 Ladies' - 2018,3
Baldwin Bikes,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,7
Baldwin Bikes,Electra Cruiser 7D Ladies' - 2016/2018,2
Baldwin Bikes,Electra Cruiser 7D Tall - 2016/2018,3
Baldwin Bikes,Electra Cruiser Lux 1 - 2016/2018,2
Baldwin Bikes,Electra Cruiser Lux 1 - 2017,13
Baldwin Bikes,Electra Cruiser Lux 1 Ladies' - 2018,7
Baldwin Bikes,Electra Cruiser Lux 3i - 2018,7
Baldwin Bikes,Electra Cruiser Lux 3i Ladies' - 2018,2
Baldwin Bikes,Electra Cruiser Lux 7D - 2018,1
Baldwin Bikes,Electra Cruiser Lux 7D Ladies' - 2018,2
Baldwin Bikes,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,21
Baldwin Bikes,Electra Cruiser Lux Fat Tire 7D - 2018,3
Baldwin Bikes,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,5
Baldwin Bikes,Electra Daydreamer 3i Ladies' - 2018,5
Baldwin Bikes,Electra Delivery 3i - 2016/2017/2018,4
Baldwin Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,181
Baldwin Bikes,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,111
Baldwin Bikes,"Electra Girl's Hawaii 1 16"" - 2017",44
Baldwin Bikes,Electra Glam Punk 3i Ladies' - 2017,34
Baldwin Bikes,Electra Heartchya 1 (20-inch) - Girl's - 2018,5
Baldwin Bikes,Electra Koa 3i Ladies' - 2018,11
Baldwin Bikes,Electra Loft Go! 8i - 2018,2
Baldwin Bikes,Electra Morningstar 3i Ladies' - 2018,2
Baldwin Bikes,Electra Moto 1 - 2016,77
Baldwin Bikes,Electra Moto 3i (20-inch) - Boy's - 2017,19
Baldwin Bikes,Electra Moto 3i - 2018,3
Baldwin Bikes,Electra Queen of Hearts 3i - 2018,3
Baldwin Bikes,Electra Relic 3i - 2018,2
Baldwin Bikes,Electra Savannah 3i (20-inch) - Girl's - 2017,23
Baldwin Bikes,"Electra Starship 1 16"" - 2018",2
Baldwin Bikes,Electra Straight 8 1 (16-inch) - Boy's - 2018,1
Baldwin Bikes,Electra Straight 8 1 (20-inch) - Boy's - 2018,1
Baldwin Bikes,Electra Straight 8 3i (20-inch) - Boy's - 2017,17
Baldwin Bikes,Electra Straight 8 3i - 2018,2
Baldwin Bikes,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,16
Baldwin Bikes,Electra Super Moto 8i - 2018,2
Baldwin Bikes,"Electra Superbolt 3i 20"" - 2018",1
Baldwin Bikes,Electra Sweet Ride 3i (20-inch) - Girls' - 2018,4
Baldwin Bikes,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,3
Baldwin Bikes,Electra Tiger Shark 3i (20-inch) - Boys' - 2018,1
Baldwin Bikes,Electra Tiger Shark 3i - 2018,2
Baldwin Bikes,Electra Townie 3i EQ (20-inch) - Boys' - 2017,26
Baldwin Bikes,Electra Townie 7D (20-inch) - Boys' - 2017,31
Baldwin Bikes,Electra Townie Balloon 3i EQ - 2017/2018,5
Baldwin Bikes,Electra Townie Balloon 3i EQ Ladies' - 2018,9
Baldwin Bikes,Electra Townie Balloon 7i EQ - 2018,2
Baldwin Bikes,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,6
Baldwin Bikes,Electra Townie Balloon 8D EQ - 2016/2017/2018,7
Baldwin Bikes,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,5
Baldwin Bikes,Electra Townie Commute 27D - 2018,1
Baldwin Bikes,Electra Townie Commute 27D Ladies - 2018,3
Baldwin Bikes,Electra Townie Commute 8D - 2018,6
Baldwin Bikes,Electra Townie Commute 8D Ladies' - 2018,6
Baldwin Bikes,Electra Townie Commute Go! - 2018,5
Baldwin Bikes,Electra Townie Commute Go! Ladies' - 2018,11
Baldwin Bikes,Electra Townie Go! 8i - 2017/2018,2
Baldwin Bikes,Electra Townie Go! 8i Ladies' - 2018,4
Baldwin Bikes,Electra Townie Original 1 Ladies' - 2018,3
Baldwin Bikes,Electra Townie Original 21D - 2016,203
Baldwin Bikes,Electra Townie Original 21D - 2018,2
Baldwin Bikes,Electra Townie Original 21D EQ - 2017/2018,5
Baldwin Bikes,Electra Townie Original 21D EQ Ladies' - 2018,5
Baldwin Bikes,Electra Townie Original 21D Ladies' - 2018,5
Baldwin Bikes,Electra Townie Original 3i EQ - 2017/2018,2
Baldwin Bikes,Electra Townie Original 3i EQ Ladies' - 2018,1
Baldwin Bikes,Electra Townie Original 7D - 2015/2016,103
Baldwin Bikes,Electra Townie Original 7D - 2017,37
Baldwin Bikes,Electra Townie Original 7D EQ - 2016,205
Baldwin Bikes,Electra Townie Original 7D EQ - 2018,1
Baldwin Bikes,Electra Townie Original 7D EQ - Women's - 2016,85
Baldwin Bikes,Electra Townie Original 7D EQ Ladies' - 2017/2018,5
Baldwin Bikes,"Electra Treasure 1 20"" - 2018",7
Baldwin Bikes,"Electra Treasure 3i 20"" - 2018",1
Baldwin Bikes,"Electra Under-The-Sea 1 16"" - 2018",6
Baldwin Bikes,Electra Water Lily 1 (16-inch) - Girl's - 2018,5
Baldwin Bikes,Electra White Water 3i - 2018,3
Baldwin Bikes,Haro Downtown 16 - 2017,20
Baldwin Bikes,Haro Flightline One ST - 2017,23
Baldwin Bikes,Haro Flightline Two 26 Plus - 2017,20
Baldwin Bikes,Haro SR 1.1 - 2017,14
Baldwin Bikes,Haro SR 1.2 - 2017,35
Baldwin Bikes,Haro SR 1.3 - 2017,20
Baldwin Bikes,Haro Shift R3 - 2017,24
Baldwin Bikes,Haro Shredder 20 - 2017,25
Baldwin Bikes,Haro Shredder 20 Girls - 2017,31
Baldwin Bikes,Haro Shredder Pro 20 - 2017,21
Baldwin Bikes,Heller Bloodhound Trail - 2018,2
Baldwin Bikes,Heller Shagamaw Frame - 2016,90
Baldwin Bikes,Heller Shagamaw GX1 - 2018,5
Baldwin Bikes,Pure Cycles Vine 8-Speed - 2016,87
Baldwin Bikes,Pure Cycles Western 3-Speed - Women's - 2015/2016,99
Baldwin Bikes,Pure Cycles William 3-Speed - 2016,80
Baldwin Bikes,Ritchey Timberwolf Frameset - 2016,79
Baldwin Bikes,Strider Classic 12 Balance Bike - 2018,5
Baldwin Bikes,Strider Sport 16 - 2018,3
Baldwin Bikes,Strider Strider 20 Sport - 2018,7
Baldwin Bikes,Sun Bicycles Atlas X-Type - 2017,25
Baldwin Bikes,Sun Bicycles Biscayne Tandem 7 - 2017,27
Baldwin Bikes,Sun Bicycles Biscayne Tandem CB - 2017,23
Baldwin Bikes,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,13
Baldwin Bikes,Sun Bicycles Brickell Tandem 7 - 2017,27
Baldwin Bikes,Sun Bicycles Brickell Tandem CB - 2017,15
Baldwin Bikes,Sun Bicycles Cruz 3 - 2017,46
Baldwin Bikes,Sun Bicycles Cruz 3 - Women's - 2017,24
Baldwin Bikes,Sun Bicycles Cruz 7 - 2017,36
Baldwin Bikes,Sun Bicycles Cruz 7 - Women's - 2017,20
Baldwin Bikes,Sun Bicycles Drifter 7 - 2017,16
Baldwin Bikes,Sun Bicycles Drifter 7 - Women's - 2017,19
Baldwin Bikes,Sun Bicycles ElectroLite - 2017,22
Baldwin Bikes,Sun Bicycles Lil Bolt Type-R - 2017,38
Baldwin Bikes,Sun Bicycles Lil Kitt'n - 2017,11
Baldwin Bikes,Sun Bicycles Revolutions 24 - 2017,28
Baldwin Bikes,Sun Bicycles Revolutions 24 - Girl's - 2017,13
Baldwin Bikes,Sun Bicycles Spider 3i - 2017,17
Baldwin Bikes,Sun Bicycles Streamway - 2017,20
Baldwin Bikes,Sun Bicycles Streamway 3 - 2017,30
Baldwin Bikes,Sun Bicycles Streamway 7 - 2017,22
Baldwin Bikes,Surly Big Dummy Frameset - 2017,21
Baldwin Bikes,Surly Big Fat Dummy Frameset - 2018,3
Baldwin Bikes,Surly ECR - 2018,3
Baldwin Bikes,Surly ECR 27.5 - 2018,7
Baldwin Bikes,Surly ECR Frameset - 2018,1
Baldwin Bikes,Surly Ice Cream Truck Frameset - 2016,113
Baldwin Bikes,Surly Ice Cream Truck Frameset - 2017,19
Baldwin Bikes,Surly Karate Monkey 27.5+ Frameset - 2017,26
Baldwin Bikes,Surly Krampus - 2018,7
Baldwin Bikes,Surly Ogre Frameset - 2017,14
Baldwin Bikes,Surly Pack Rat - 2018,4
Baldwin Bikes,Surly Pack Rat Frameset - 2018,4
Baldwin Bikes,Surly Steamroller - 2017,25
Baldwin Bikes,Surly Straggler - 2016,100
Baldwin Bikes,Surly Straggler - 2018,9
Baldwin Bikes,Surly Straggler 650b - 2016,101
Baldwin Bikes,Surly Straggler 650b - 2018,6
Baldwin Bikes,Surly Troll Frameset - 2017,29
Baldwin Bikes,Surly Troll Frameset - 2018,4
Baldwin Bikes,Surly Wednesday - 2017,12
Baldwin Bikes,Surly Wednesday Frameset - 2016,76
Baldwin Bikes,Surly Wednesday Frameset - 2017,18
Baldwin Bikes,Trek 1120 - 2018,2
Baldwin Bikes,Trek 820 - 2018,2
Baldwin Bikes,Trek Boone 5 Disc - 2018,2
Baldwin Bikes,Trek Boone 7 - 2017,29
Baldwin Bikes,Trek Boone 7 Disc - 2018,3
Baldwin Bikes,Trek Boone Race Shop Limited - 2017,23
Baldwin Bikes,Trek Boy's Kickster - 2015/2017,14
Baldwin Bikes,Trek Conduit+ - 2016,93
Baldwin Bikes,Trek Conduit+ - 2018,4
Baldwin Bikes,Trek Crockett 5 Disc - 2018,2
Baldwin Bikes,Trek Crockett 7 Disc - 2018,4
Baldwin Bikes,Trek CrossRip 1 - 2018,3
Baldwin Bikes,Trek CrossRip+ - 2018,1
Baldwin Bikes,Trek Domane AL 2 Women's - 2018,1
Baldwin Bikes,Trek Domane AL 3 - 2018,2
Baldwin Bikes,Trek Domane AL 3 Women's - 2018,3
Baldwin Bikes,Trek Domane ALR 4 Disc - 2018,3
Baldwin Bikes,Trek Domane ALR 4 Disc Women's - 2018,5
Baldwin Bikes,Trek Domane ALR 5 Disc - 2018,6
Baldwin Bikes,Trek Domane ALR 5 Gravel - 2018,2
Baldwin Bikes,Trek Domane ALR Disc Frameset - 2018,4
Baldwin Bikes,Trek Domane ALR Frameset - 2018,4
Baldwin Bikes,Trek Domane S 5 Disc - 2017,14
Baldwin Bikes,Trek Domane S 6 - 2017,27
Baldwin Bikes,Trek Domane SL 5 - 2018,3
Baldwin Bikes,Trek Domane SL 5 Disc Women's - 2018,3
Baldwin Bikes,Trek Domane SL 5 Women's - 2018,1
Baldwin Bikes,Trek Domane SL 6 - 2017,27
Baldwin Bikes,Trek Domane SL 6 - 2018,4
Baldwin Bikes,Trek Domane SL 6 Disc - 2018,6
Baldwin Bikes,Trek Domane SL 7 Women's - 2018,7
Baldwin Bikes,Trek Domane SL 8 Disc - 2018,1
Baldwin Bikes,Trek Domane SL Disc Frameset - 2017,19
Baldwin Bikes,Trek Domane SL Frameset - 2018,2
Baldwin Bikes,Trek Domane SLR 6 - 2018,1
Baldwin Bikes,Trek Domane SLR 6 Disc - 2017,30
Baldwin Bikes,Trek Domane SLR 8 Disc - 2018,4
Baldwin Bikes,Trek Domane SLR 9 Disc - 2018,5
Baldwin Bikes,Trek Domane SLR Disc Frameset - 2018,1
Baldwin Bikes,Trek Dual Sport+ - 2018,4
Baldwin Bikes,Trek Emonda ALR 6 - 2018,3
Baldwin Bikes,Trek Emonda S 4 - 2017,31
Baldwin Bikes,Trek Emonda S 5 - 2017,19
Baldwin Bikes,Trek Emonda SL 6 Disc - 2018,4
Baldwin Bikes,Trek Emonda SL 7 - 2018,1
Baldwin Bikes,Trek Emonda SLR 6 - 2018,4
Baldwin Bikes,Trek Emonda SLR 8 - 2018,4
Baldwin Bikes,Trek Farley Alloy Frameset - 2017,22
Baldwin Bikes,Trek Farley Carbon Frameset - 2018,6
Baldwin Bikes,Trek Fuel EX 5 27.5 Plus - 2017,27
Baldwin Bikes,Trek Fuel EX 5 Plus - 2018,4
