category,brand,total_sales
Mountain Bikes,Trek,1847700.4551999974
Road Bikes,Trek,1596620.1823999982
Electric Bikes,Trek,838371.5889000008
Cruisers Bicycles,Electra,694909.1284000042
Mountain Bikes,Surly,441384.13670000056
Cyclocross Bicycles,Surly,439644.6210000003
Comfort Bicycles,Electra,271542.0785999998
Cyclocross Bicycles,Trek,271367.2148999999
Children Bicycles,Electra,207605.7199000001
Mountain Bikes,Heller,171459.07569999996
Mountain Bikes,Haro,156144.95209999997
Cruisers Bicycles,Sun Bicycles,150647.1553
Cruisers Bicycles,Pure Cycles,149476.34000000032
Comfort Bicycles,Sun Bicycles,122478.01949999991
Mountain Bikes,Ritchey,78898.94799999999
Road Bikes,Surly,68478.3056
Children Bicycles,Trek,48694.909499999965
Electric Bikes,Sun Bicycles,47049.29840000001
Electric Bikes,Electra,31263.892699999993
Children Bicycles,Haro,29239.60160000001
Mountain Bikes,Sun Bicycles,19491.966000000004
Children Bicycles,Strider,4320.478899999999
Children Bicycles,Sun Bicycles,2328.4883
