product_id,product_name,store_id,stock_quantity,total_sales,lead_time
2,Ritchey Timberwolf Frameset - 2016,1,5,118,0.0423728813559322
2,Ritchey Timberwolf Frameset - 2016,2,16,118,0.13559322033898305
2,Ritchey Timberwolf Frameset - 2016,3,24,118,0.2033898305084746
3,Surly Wednesday Frameset - 2016,1,6,126,0.047619047619047616
3,Surly Wednesday Frameset - 2016,2,28,126,0.2222222222222222
3,Surly Wednesday Frameset - 2016,3,0,126,0.0
4,Trek Fuel EX 8 29 - 2016,1,23,143,0.16083916083916083
4,Trek Fuel EX 8 29 - 2016,2,2,143,0.013986013986013986
4,Trek Fuel EX 8 29 - 2016,3,11,143,0.07692307692307693
5,Heller Shagamaw Frame - 2016,1,22,129,0.17054263565891473
5,Heller Shagamaw Frame - 2016,2,1,129,0.007751937984496124
5,Heller Shagamaw Frame - 2016,3,3,129,0.023255813953488372
6,Surly Ice Cream Truck Frameset - 2016,1,0,167,0.0
6,Surly Ice Cream Truck Frameset - 2016,2,11,167,0.0658682634730539
6,Surly Ice Cream Truck Frameset - 2016,3,27,167,0.16167664670658682
7,Trek Slash 8 27.5 - 2016,1,8,154,0.05194805194805195
7,Trek Slash 8 27.5 - 2016,2,8,154,0.05194805194805195
7,Trek Slash 8 27.5 - 2016,3,12,154,0.07792207792207792
8,Trek Remedy 29 Carbon Frameset - 2016,1,0,125,0.0
8,Trek Remedy 29 Carbon Frameset - 2016,2,1,125,0.008
8,Trek Remedy 29 Carbon Frameset - 2016,3,12,125,0.096
9,Trek Conduit+ - 2016,1,11,145,0.07586206896551724
9,Trek Conduit+ - 2016,2,17,145,0.11724137931034483
9,Trek Conduit+ - 2016,3,23,145,0.15862068965517243
10,Surly Straggler - 2016,1,15,147,0.10204081632653061
10,Surly Straggler - 2016,2,13,147,0.08843537414965986
10,Surly Straggler - 2016,3,21,147,0.14285714285714285
11,Surly Straggler 650b - 2016,1,8,151,0.052980132450331126
11,Surly Straggler 650b - 2016,2,21,151,0.1390728476821192
11,Surly Straggler 650b - 2016,3,30,151,0.1986754966887417
12,Electra Townie Original 21D - 2016,1,16,153,0.10457516339869281
12,Electra Townie Original 21D - 2016,2,2,153,0.013071895424836602
12,Electra Townie Original 21D - 2016,3,30,153,0.19607843137254902
13,Electra Cruiser 1 (24-Inch) - 2016,1,13,157,0.08280254777070063
13,Electra Cruiser 1 (24-Inch) - 2016,2,1,157,0.006369426751592357
13,Electra Cruiser 1 (24-Inch) - 2016,3,19,157,0.12101910828025478
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,8,124,0.06451612903225806
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,18,124,0.14516129032258066
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,3,4,124,0.03225806451612903
15,Electra Moto 1 - 2016,1,3,137,0.021897810218978103
15,Electra Moto 1 - 2016,2,6,137,0.043795620437956206
15,Electra Moto 1 - 2016,3,22,137,0.16058394160583941
16,Electra Townie Original 7D EQ - 2016,1,4,156,0.02564102564102564
16,Electra Townie Original 7D EQ - 2016,2,20,156,0.1282051282051282
16,Electra Townie Original 7D EQ - 2016,3,19,156,0.12179487179487179
17,Pure Cycles Vine 8-Speed - 2016,1,2,133,0.015037593984962405
17,Pure Cycles Vine 8-Speed - 2016,2,3,133,0.022556390977443608
17,Pure Cycles Vine 8-Speed - 2016,3,22,133,0.16541353383458646
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,16,134,0.11940298507462686
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,13,134,0.09701492537313433
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,3,5,134,0.03731343283582089
19,Pure Cycles William 3-Speed - 2016,1,4,109,0.03669724770642202
19,Pure Cycles William 3-Speed - 2016,2,15,109,0.13761467889908258
19,Pure Cycles William 3-Speed - 2016,3,24,109,0.22018348623853212
20,Electra Townie Original 7D EQ - Women's - 2016,1,26,125,0.208
20,Electra Townie Original 7D EQ - Women's - 2016,2,20,125,0.16
20,Electra Townie Original 7D EQ - Women's - 2016,3,19,125,0.152
21,Electra Cruiser 1 (24-Inch) - 2016,1,24,139,0.17266187050359713
21,Electra Cruiser 1 (24-Inch) - 2016,2,16,139,0.11510791366906475
21,Electra Cruiser 1 (24-Inch) - 2016,3,8,139,0.05755395683453238
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,29,145,0.2
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,0,145,0.0
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,3,20,145,0.13793103448275862
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,9,154,0.05844155844155844
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,12,154,0.07792207792207792
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,3,8,154,0.05194805194805195
24,Electra Townie Original 21D - 2016,1,10,136,0.07352941176470588
24,Electra Townie Original 21D - 2016,2,16,136,0.11764705882352941
24,Electra Townie Original 21D - 2016,3,18,136,0.1323529411764706
25,Electra Townie Original 7D - 2015/2016,1,10,148,0.06756756756756757
25,Electra Townie Original 7D - 2015/2016,2,18,148,0.12162162162162163
25,Electra Townie Original 7D - 2015/2016,3,15,148,0.10135135135135136
26,Electra Townie Original 7D EQ - 2016,1,16,134,0.11940298507462686
26,Electra Townie Original 7D EQ - 2016,2,2,134,0.014925373134328358
26,Electra Townie Original 7D EQ - 2016,3,27,134,0.20149253731343283
27,Surly Big Dummy Frameset - 2017,1,21,31,0.6774193548387096
27,Surly Big Dummy Frameset - 2017,2,10,31,0.3225806451612903
27,Surly Big Dummy Frameset - 2017,3,21,31,0.6774193548387096
28,Surly Karate Monkey 27.5+ Frameset - 2017,1,20,39,0.5128205128205128
28,Surly Karate Monkey 27.5+ Frameset - 2017,2,25,39,0.6410256410256411
28,Surly Karate Monkey 27.5+ Frameset - 2017,3,20,39,0.5128205128205128
29,Trek X-Caliber 8 - 2017,1,13,35,0.37142857142857144
29,Trek X-Caliber 8 - 2017,2,29,35,0.8285714285714286
29,Trek X-Caliber 8 - 2017,3,11,35,0.3142857142857143
30,Surly Ice Cream Truck Frameset - 2017,2,17,30,0.5666666666666667
30,Surly Ice Cream Truck Frameset - 2017,3,23,30,0.7666666666666667
31,Surly Wednesday - 2017,1,2,18,0.1111111111111111
31,Surly Wednesday - 2017,2,10,18,0.5555555555555556
31,Surly Wednesday - 2017,3,10,18,0.5555555555555556
32,Trek Farley Alloy Frameset - 2017,1,0,28,0.0
32,Trek Farley Alloy Frameset - 2017,2,13,28,0.4642857142857143
32,Trek Farley Alloy Frameset - 2017,3,14,28,0.5
33,Surly Wednesday Frameset - 2017,1,10,35,0.2857142857142857
33,Surly Wednesday Frameset - 2017,2,8,35,0.22857142857142856
33,Surly Wednesday Frameset - 2017,3,14,35,0.4
34,Trek Session DH 27.5 Carbon Frameset - 2017,1,2,16,0.125
34,Trek Session DH 27.5 Carbon Frameset - 2017,3,6,16,0.375
35,Sun Bicycles Spider 3i - 2017,1,18,26,0.6923076923076923
35,Sun Bicycles Spider 3i - 2017,2,25,26,0.9615384615384616
35,Sun Bicycles Spider 3i - 2017,3,3,26,0.11538461538461539
36,Surly Troll Frameset - 2017,1,26,46,0.5652173913043478
36,Surly Troll Frameset - 2017,2,15,46,0.32608695652173914
36,Surly Troll Frameset - 2017,3,28,46,0.6086956521739131
37,Haro Flightline One ST - 2017,1,12,31,0.3870967741935484
37,Haro Flightline One ST - 2017,2,5,31,0.16129032258064516
37,Haro Flightline One ST - 2017,3,30,31,0.967741935483871
38,Haro Flightline Two 26 Plus - 2017,1,13,28,0.4642857142857143
38,Haro Flightline Two 26 Plus - 2017,2,18,28,0.6428571428571429
38,Haro Flightline Two 26 Plus - 2017,3,23,28,0.8214285714285714
39,Trek Stache 5 - 2017,1,2,25,0.08
39,Trek Stache 5 - 2017,3,22,25,0.88
40,Trek Fuel EX 9.8 29 - 2017,1,24,33,0.7272727272727273
40,Trek Fuel EX 9.8 29 - 2017,2,15,33,0.45454545454545453
40,Trek Fuel EX 9.8 29 - 2017,3,2,33,0.06060606060606061
41,Haro Shift R3 - 2017,1,10,35,0.2857142857142857
41,Haro Shift R3 - 2017,2,6,35,0.17142857142857143
41,Haro Shift R3 - 2017,3,25,35,0.7142857142857143
42,Trek Fuel EX 5 27.5 Plus - 2017,1,0,34,0.0
