product_name,total_revenue,percentage_of_total_revenue
Trek Slash 8 27.5 - 2016,555558.6111000001,7.225259325154597
Trek Conduit+ - 2016,389248.7025000002,5.062333228844904
Trek Fuel EX 8 29 - 2016,368472.72939999995,4.792133486854193
Surly Straggler 650b - 2016,226765.5509999999,2.9491756211688918
Trek Domane SLR 6 Disc - 2017,211584.61529999998,2.7517415520365294
Surly Straggler - 2016,203507.62000000026,2.6466970356802735
Trek Remedy 29 Carbon Frameset - 2016,203380.87009999997,2.6450486031321283
Trek Powerfly 8 FS Plus - 2017,188249.62349999996,2.4482607603851725
Trek Madone 9.2 - 2017,175899.64819999994,2.287644450208509
Trek Silque SLR 8 Women's - 2017,174524.73150000002,2.269763115081121
Trek Silque SLR 7 Women's - 2017,163079.72819999995,2.1209163234599466
Trek Fuel EX 9.8 27.5 Plus - 2017,159052.69989999998,2.068543228711895
Electra Townie Original 7D EQ - 2016,155169.41379999986,2.0180395580897894
Heller Shagamaw Frame - 2016,151160.88569999996,1.965907065755051
Trek Fuel EX 9.8 29 - 2017,147449.7051,1.9176416951861552
Electra Townie Original 21D - 2016,143393.39279999989,1.8648877504434294
Trek Boone 7 - 2017,127609.63539999998,1.6596137468337546
Trek Domane SL 6 - 2017,113644.67529999999,1.4779939210008781
Surly Wednesday Frameset - 2016,112288.87709999991,1.4603612295226875
Trek Remedy 9.8 - 2017,105469.80099999999,1.3716764495623697
Trek Domane S 6 - 2017,93527.65359999998,1.2163641024215754
Trek Boone Race Shop Limited - 2017,91244.7393,1.1866738996148105
Surly Karate Monkey 27.5+ Frameset - 2017,87474.65009999998,1.1376423994189444
Ritchey Timberwolf Frameset - 2016,78898.94799999999,1.0261120040118976
Electra Cruiser 1 (24-Inch) - 2016,72071.13060000003,0.9373135399900293
Surly Ice Cream Truck Frameset - 2016,70371.6027,0.9152105079021595
Trek Domane SL Disc Frameset - 2017,68511.78589999999,0.8910228553146623
Trek Fuel EX 5 27.5 Plus - 2017,67849.70499999999,0.8824122315188038
Electra Townie Original 7D - 2015/2016,66568.66859999995,0.8657518467996536
Electra Townie Original 7D EQ - Women's - 2016,66508.89149999997,0.8649744219869046
Electra Moto 1 - 2016,65061.57239999999,0.8461514650300428
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,64514.11050000005,0.839031506633017
Trek Domane S 5 Disc - 2017,59513.77109999999,0.774000116322544
Trek Emonda S 4 - 2017,57359.61759999999,0.7459844986132401
Trek Domane SLR 9 Disc - 2018,54359.9547,0.7069726969643877
Pure Cycles Western 3-Speed - Women's - 2015/2016,54270.629999999976,0.7058109939347758
Pure Cycles Vine 8-Speed - 2016,51531.479999999996,0.6701872655196749
Sun Bicycles ElectroLite - 2017,47049.29840000001,0.6118947222031119
Haro Shift R3 - 2017,46980.880399999995,0.611004919070496
Pure Cycles William 3-Speed - 2016,43674.22999999997,0.5680006236455334
Trek Emonda S 5 - 2017,41079.794599999994,0.5342589658027269
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,41011.632899999975,0.5333724959529149
Electra Amsterdam Fashion 7i Ladies' - 2017,39863.637599999995,0.5184423633245405
Haro SR 1.2 - 2017,39862.9418,0.5184333141705215
Trek Super Commuter+ 8S - 2018,37299.92539999999,0.4851002728412586
Trek Powerfly 7 FS - 2018,36499.926999999996,0.4746959774451995
Electra Townie Commute Go! Ladies' - 2018,35249.8825,0.4584386546352801
Surly Troll Frameset - 2017,34477.4561,0.44839294399721563
Haro SR 1.3 - 2017,34121.75800000001,0.4437669496149557
Trek Stache 5 - 2017,33719.7752,0.4385390044148964
Electra Townie Commute Go! - 2018,32399.891999999996,0.4213734017073212
Trek Domane SL 7 Women's - 2018,31399.9372,0.40836859429532235
Trek X-Caliber 8 - 2017,30939.690599999998,0.40238290534715454
Trek Fuel EX 8 29 XT - 2018,29503.9078,0.3837099825315828
Electra Townie Original 7D - 2017,29164.204799999992,0.37929201074697977
Trek Boone 7 Disc - 2018,28239.9294,0.36727144384470767
Sun Bicycles Cruz 3 - 2017,27710.3842,0.3603844992128618
Surly Steamroller - 2017,27690.043899999993,0.36011996557173886
Surly Big Dummy Frameset - 2017,27679.7232,0.35998574078892176
Electra Glam Punk 3i Ladies' - 2017,27647.6544,0.3595686733695405
Trek Domane SLR 8 Disc - 2018,27374.963499999998,0.35602222043236303
Surly Ice Cream Truck Frameset - 2017,27269.7273,0.3546535820561379
Surly Wednesday - 2017,26438.108099999998,0.34383804565777204
Trek Super Commuter+ 7 - 2018,25847.9282,0.33616252278620545
Trek Emonda SLR 8 - 2018,24179.962799999998,0.3144699734860994
Trek XM700+ - 2018,24149.931,0.31407939805685436
Trek Domane SL 6 - 2018,23679.926,0.3079667972596217
Sun Bicycles Biscayne Tandem CB - 2017,22899.966600000003,0.2978231169790949
Trek XM700+ Lowstep - 2018,20964.940099999996,0.27265733251602275
Trek Emonda SLR 6 - 2018,20789.953799999996,0.27038156652016154
Sun Bicycles Cruz 7 - 2017,20357.451800000006,0.26475670706120974
"Electra Girl's Hawaii 1 16"" - 2017",20087.3304,0.26124367148714217
Trek Domane ALR Disc Frameset - 2018,19999.9375,0.26010709228008594
Sun Bicycles Brickell Tandem 7 - 2017,19544.7394,0.25418706106986744
Sun Bicycles Spider 3i - 2017,19491.966000000004,0.25350072214387165
Sun Bicycles Streamway 3 - 2017,19363.809199999996,0.2518339923051448
Electra Amsterdam Original 3i - 2015/2017,18987.9123,0.24694530454519065
Sun Bicycles Lil Bolt Type-R - 2017,18681.941600000002,0.24296603465497718
Sun Bicycles Biscayne Tandem 7 - 2017,18289.705,0.2378648426381607
Trek Conduit+ - 2018,17807.9364,0.23159925157329622
Electra Amsterdam Original 3i Ladies' - 2017,17793.330400000003,0.23140929477018912
Sun Bicycles Streamway 7 - 2017,17637.6897,0.22938512594878965
Trek Domane SL Frameset - 2018,17549.972999999998,0.22824433559474952
Trek Domane SL 6 Disc - 2018,17324.9505,0.22531782904078682
Electra Townie 3i EQ (20-inch) - Boys' - 2017,17125.150499999996,0.22271935106866503
Trek Powerfly 5 Women's - 2018,16204.9537,0.21075182797148342
Sun Bicycles Atlas X-Type - 2017,15620.4454,0.20315006649965
Trek CrossRip+ - 2018,15524.9655,0.20190831266115958
Trek Dual Sport+ - 2018,15455.9448,0.20101067117682314
Trek Emonda ALR 6 - 2018,15110.9343,0.19652367325689973
Surly Ogre Frameset - 2017,14909.801200000002,0.19390785779236244
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,14747.754200000001,0.19180037250733534
Trek Domane SL 8 Disc - 2018,14739.9732,0.19169917752684945
