product_name,total_sold,current_stock,turnover_rate
Trek Domane SLR Frameset - 2018,9,10,0.9
"Electra Superbolt 1 20"" - 2018",6,9,0.6666666666666666
Electra Koa 3i Ladies' - 2018,33,72,0.4583333333333333
Electra Cruiser 1 Ladies' - 2018,18,40,0.45
Sun Bicycles Streamway 7 - 2017,111,275,0.4036363636363636
Electra Amsterdam Original 3i - 2015/2017,96,242,0.39669421487603307
Trek Silque SLR 8 Women's - 2017,87,228,0.3815789473684211
Trek Domane AL 3 Women's - 2018,24,70,0.34285714285714286
Trek Remedy 29 Carbon Frameset - 2016,375,1105,0.3393665158371041
Electra Amsterdam Original 3i Ladies' - 2017,93,276,0.33695652173913043
