category_name,month,total_sales,avg_monthly_sales
Children Bicycles,01,27643.894600000007,24349.09985
Children Bicycles,02,30606.18650000001,24349.09985
Children Bicycles,03,36262.785899999995,24349.09985
Children Bicycles,04,44721.18539999999,24349.09985
Children Bicycles,05,15189.2564,24349.09985
Children Bicycles,06,17195.18860000001,24349.09985
Children Bicycles,07,19109.828700000005,24349.09985
Children Bicycles,08,22144.534099999997,24349.09985
Children Bicycles,09,20582.5846,24349.09985
Children Bicycles,10,25527.444,24349.09985
Children Bicycles,11,16357.005500000003,24349.09985
Children Bicycles,12,16849.3039,24349.09985
Comfort Bicycles,01,35595.2999,32835.008175
Comfort Bicycles,02,41819.88210000001,32835.008175
Comfort Bicycles,03,36727.19029999999,32835.008175
Comfort Bicycles,04,63906.73739999999,32835.008175
Comfort Bicycles,05,27337.8648,32835.008175
Comfort Bicycles,06,24099.8109,32835.008175
Comfort Bicycles,07,20820.732999999993,32835.008175
Comfort Bicycles,08,31381.792699999998,32835.008175
Comfort Bicycles,09,29080.945999999996,32835.008175
Comfort Bicycles,10,34560.71140000001,32835.008175
Comfort Bicycles,11,22469.7787,32835.008175
Comfort Bicycles,12,26219.350900000005,32835.008175
Cruisers Bicycles,01,89851.44959999998,82919.38530833332
Cruisers Bicycles,02,80543.22349999998,82919.38530833332
Cruisers Bicycles,03,138274.37449999992,82919.38530833332
Cruisers Bicycles,04,160586.9389,82919.38530833332
Cruisers Bicycles,05,58227.2591,82919.38530833332
Cruisers Bicycles,06,68757.97309999999,82919.38530833332
Cruisers Bicycles,07,66950.4558,82919.38530833332
Cruisers Bicycles,08,69980.76480000002,82919.38530833332
Cruisers Bicycles,09,61018.67399999999,82919.38530833332
Cruisers Bicycles,10,76449.27130000001,82919.38530833332
Cruisers Bicycles,11,58148.36279999998,82919.38530833332
Cruisers Bicycles,12,66243.8763,82919.38530833332
Cyclocross Bicycles,01,62497.670600000005,59250.98632500001
Cyclocross Bicycles,02,55877.9051,59250.98632500001
Cyclocross Bicycles,03,55487.435099999995,59250.98632500001
Cyclocross Bicycles,04,97650.5791,59250.98632500001
Cyclocross Bicycles,05,58067.225699999995,59250.98632500001
Cyclocross Bicycles,06,68876.5865,59250.98632500001
Cyclocross Bicycles,07,46002.05349999999,59250.98632500001
Cyclocross Bicycles,08,48281.57060000001,59250.98632500001
Cyclocross Bicycles,09,38378.09599999999,59250.98632500001
Cyclocross Bicycles,10,68433.63889999999,59250.98632500001
Cyclocross Bicycles,11,36625.4355,59250.98632500001
Cyclocross Bicycles,12,74833.63930000001,59250.98632500001
Electric Bikes,01,131574.63150000002,76390.39833333333
Electric Bikes,02,73743.7949,76390.39833333333
Electric Bikes,03,92656.70469999999,76390.39833333333
Electric Bikes,04,170549.08669999996,76390.39833333333
Electric Bikes,05,22189.9387,76390.39833333333
Electric Bikes,06,58303.826400000005,76390.39833333333
Electric Bikes,07,46547.8234,76390.39833333333
Electric Bikes,08,69772.5686,76390.39833333333
Electric Bikes,09,63058.195900000006,76390.39833333333
Electric Bikes,10,58073.80209999999,76390.39833333333
Electric Bikes,11,64434.612100000006,76390.39833333333
Electric Bikes,12,65779.795,76390.39833333333
Mountain Bikes,01,282901.17279999994,226256.62780833335
Mountain Bikes,02,232538.9590999999,226256.62780833335
Mountain Bikes,03,302698.16930000007,226256.62780833335
Mountain Bikes,04,321646.0006000001,226256.62780833335
Mountain Bikes,05,204334.7473999999,226256.62780833335
Mountain Bikes,06,219418.0567999999,226256.62780833335
Mountain Bikes,07,178108.56629999995,226256.62780833335
Mountain Bikes,08,212010.8321,226256.62780833335
Mountain Bikes,09,253271.80219999992,226256.62780833335
Mountain Bikes,10,197189.68059999993,226256.62780833335
Mountain Bikes,11,185077.49440000003,226256.62780833335
Mountain Bikes,12,125884.05209999999,226256.62780833335
Road Bikes,01,252128.88839999994,138758.20733333332
Road Bikes,02,154564.18009999994,138758.20733333332
Road Bikes,03,191396.56399999993,138758.20733333332
Road Bikes,04,353296.2966000002,138758.20733333332
Road Bikes,05,88156.95489999998,138758.20733333332
Road Bikes,06,132965.3267,138758.20733333332
Road Bikes,07,63350.64630000001,138758.20733333332
Road Bikes,08,71016.5839,138758.20733333332
Road Bikes,09,110070.5318,138758.20733333332
Road Bikes,10,65952.96960000001,138758.20733333332
Road Bikes,11,92156.63239999997,138758.20733333332
Road Bikes,12,90042.91329999999,138758.20733333332
