category_name,state,month,gross_revenue,net_revenue,discount_amount,discount_percentage
Children Bicycles,CA,01,6979.739999999998,6174.7687000000005,804.9712999999999,11.53
Children Bicycles,CA,02,5319.8099999999995,4826.228099999999,493.5819000000001,9.28
Children Bicycles,CA,03,6129.749999999998,5593.974,535.7760000000001,8.74
Children Bicycles,CA,04,14979.439999999991,13061.311600000003,1918.1284000000005,12.81
Children Bicycles,CA,05,3369.87,2959.9859,409.88410000000005,12.16
Children Bicycles,CA,06,2219.92,1876.4325000000003,343.48750000000007,15.47
Children Bicycles,CA,07,3449.8799999999997,3077.3939,372.48609999999996,10.8
Children Bicycles,CA,08,5189.82,4649.6377,540.1823,10.41
Children Bicycles,CA,09,3539.8900000000003,3167.7024,372.18760000000003,10.51
Children Bicycles,CA,10,5599.799999999999,5061.5187000000005,538.2813000000001,9.61
Children Bicycles,CA,11,5459.789999999999,4844.414,615.3760000000002,11.27
Children Bicycles,CA,12,6699.779999999999,6109.299899999999,590.4801000000001,8.81
Children Bicycles,NY,01,22459.21,19877.197000000004,2582.0130000000004,11.5
Children Bicycles,NY,02,24519.11,21705.912800000006,2813.1972000000005,11.47
Children Bicycles,NY,03,28908.98000000001,25915.9883,2992.9916999999996,10.35
Children Bicycles,NY,04,31208.890000000003,27836.011799999997,3372.8781999999983,10.81
Children Bicycles,NY,05,11939.569999999994,10595.6178,1343.9522000000004,11.26
Children Bicycles,NY,06,14349.489999999993,12588.153200000002,1761.3368000000003,12.27
Children Bicycles,NY,07,16619.419999999995,14550.487700000001,2068.9323000000004,12.45
Children Bicycles,NY,08,15909.439999999991,14368.3951,1541.0448999999999,9.69
Children Bicycles,NY,09,16879.419999999995,15089.481000000002,1789.9390000000003,10.6
Children Bicycles,NY,10,21109.22,18949.999300000003,2159.2207000000003,10.23
Children Bicycles,NY,11,12549.549999999994,11232.5995,1316.9505000000001,10.49
Children Bicycles,NY,12,11089.589999999995,9942.0325,1147.5575000000006,10.35
Children Bicycles,TX,01,1759.92,1591.9288999999999,167.99110000000002,9.55
Children Bicycles,TX,02,4719.82,4074.0456,645.7744000000001,13.68
Children Bicycles,TX,03,5119.8099999999995,4752.823599999999,366.9864000000001,7.17
Children Bicycles,TX,04,4429.84,3823.862,605.9780000000002,13.68
Children Bicycles,TX,05,1729.95,1633.6527,96.2973,5.57
Children Bicycles,TX,06,3109.89,2730.6029000000003,379.28710000000007,12.2
Children Bicycles,TX,07,1679.94,1481.9470999999999,197.99290000000002,11.79
Children Bicycles,TX,08,3469.89,3126.5013,343.3887000000001,9.9
Children Bicycles,TX,09,2559.89,2325.4012,234.48880000000003,9.16
Children Bicycles,TX,10,1639.92,1515.9260000000002,123.994,7.56
Children Bicycles,TX,11,349.99,279.992,69.998,20.0
Children Bicycles,TX,12,839.97,797.9715,41.99850000000001,5.0
Comfort Bicycles,CA,01,5846.879999999999,5399.4393,447.4407,7.65
Comfort Bicycles,CA,02,9350.819999999998,8260.0713,1090.7487,11.66
Comfort Bicycles,CA,03,10244.829999999998,9098.1983,1146.6317000000001,11.19
Comfort Bicycles,CA,04,22745.660000000007,20395.4684,2350.1915999999997,10.33
Comfort Bicycles,CA,05,5206.899999999999,4759.1086,447.79140000000007,8.6
Comfort Bicycles,CA,06,3663.9300000000003,3401.535,262.395,7.16
Comfort Bicycles,CA,07,899.98,719.984,179.996,20.0
Comfort Bicycles,CA,08,3691.93,3282.8377,409.0923,11.08
Comfort Bicycles,CA,09,12571.759999999997,11569.1996,1002.5604,7.97
Comfort Bicycles,CA,10,9449.819999999998,8517.038,932.782,9.87
Comfort Bicycles,CA,11,4341.92,4032.825599999999,309.0944,7.12
Comfort Bicycles,CA,12,7518.859999999999,6955.4706,563.3894,7.49
Comfort Bicycles,NY,01,30493.430000000004,27414.906199999998,3078.5238,10.1
Comfort Bicycles,NY,02,29184.460000000006,25981.648999999998,3202.8109999999992,10.97
