product_name,total_quantity
Trek XM700+ Lowstep - 2018,86
Electra Townie Original 7D - 2017,82
Sun Bicycles Cruz 7 - Women's - 2017,79
Trek Verve+ - 2018,79
Trek Powerfly 8 FS Plus - 2017,78
Trek Domane AL 2 Women's - 2018,77
Trek Domane SL 5 Disc - 2018,77
Trek Fuel EX 8 29 XT - 2018,75
Electra Moto 3i - 2018,75
Electra Townie Commute Go! Ladies' - 2018,75
Electra Cruiser 7D - 2016/2017/2018,74
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,74
Sun Bicycles Streamway - 2017,73
Electra Relic 3i - 2018,72
Sun Bicycles Cruz 3 - 2017,71
Sun Bicycles Boardwalk (24-inch Wheels) - 2017,71
Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,71
Trek Marlin 7 - 2017/2018,71
Surly Ice Cream Truck Frameset - 2017,70
Trek Girl's Kickster - 2017,70
Trek Powerfly 5 FS - 2018,70
Electra Townie Commute 8D - 2018,70
Surly Troll Frameset - 2017,69
Trek Kids' Neko - 2018,69
Sun Bicycles Atlas X-Type - 2017,68
Electra Sweet Ride 3i (20-inch) - Girls' - 2018,68
Sun Bicycles Cruz 3 - Women's - 2017,67
Trek Powerfly 5 - 2018,67
Trek Precaliber 20 6-speed Girl's - 2018,67
Electra Water Lily 1 (16-inch) - Girl's - 2018,67
Electra Townie Original 7D EQ - Women's - 2016,65
Surly Karate Monkey 27.5+ Frameset - 2017,65
Trek Domane SL Frameset Women's - 2018,65
Electra Townie Balloon 7i EQ - 2018,65
Electra Glam Punk 3i Ladies' - 2017,64
Trek Fuel EX 7 29 - 2018,64
Trek Super Commuter+ 7 - 2018,64
Trek Boone 7 Disc - 2018,64
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,63
Electra Savannah 3i (20-inch) - Girl's - 2017,63
Trek Domane SL 5 Women's - 2018,63
Electra Cruiser Lux 1 - 2016/2018,63
Electra Amsterdam Fashion 7i Ladies' - 2017,62
Haro Shredder 20 Girls - 2017,62
Trek Remedy 7 27.5 - 2018,62
Electra Townie Original 21D - 2018,62
Electra Townie Commute 27D Ladies - 2018,62
Trek Silque SLR 7 Women's - 2017,61
Electra Cruiser Lux 1 Ladies' - 2018,61
Sun Bicycles Brickell Tandem CB - 2017,60
Sun Bicycles Cruz 7 - 2017,60
Trek X-Caliber Frameset - 2018,60
Electra Townie Go! 8i Ladies' - 2018,60
Trek Precaliber 12 Girl's - 2018,60
Surly Straggler 650b - 2016,59
Surly ECR 27.5 - 2018,59
Trek Stache Carbon Frameset - 2018,59
Trek Dual Sport+ - 2018,59
Electra Loft Go! 8i - 2018,59
Trek XM700+ - 2018,59
Electra Savannah 1 (20-inch) - Girl's - 2018,59
"Electra Girl's Hawaii 1 16"" - 2017",58
Electra Cruiser 7D Tall - 2016/2018,58
Trek Boy's Kickster - 2015/2017,57
Trek Precaliber 12 Boys - 2017,57
Surly Straggler - 2018,57
Trek Ticket S Frame - 2018,56
Trek Remedy 27.5 C Frameset - 2018,56
Trek Domane SL 5 - 2018,56
Trek Lift+ - 2018,56
Trek 820 - 2016,55
Sun Bicycles Cruz 7 - 2017,55
Electra Townie 3i EQ (20-inch) - Boys' - 2017,55
Trek Precaliber 16 Girl's - 2018,55
Electra Townie Balloon 3i EQ - 2017/2018,55
Haro Flightline Two 26 Plus - 2017,54
Trek Domane SLR 6 Disc - 2017,54
Trek Marlin 5 - 2018,54
Trek Fuel EX 8 29 - 2018,54
Trek Domane SLR 9 Disc - 2018,54
Trek Emonda ALR 6 - 2018,54
Electra Cruiser 1 Tall - 2016/2018,54
Strider Strider 20 Sport - 2018,54
Trek Precaliber 20 Girl's - 2018,54
Trek X-Caliber 8 - 2017,53
Haro SR 1.3 - 2017,53
Trek Procaliber Frameset - 2018,53
Trek Stache 5 - 2018,53
Trek Domane SL 7 Women's - 2018,53
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,53
Surly Big Dummy Frameset - 2017,52
Trek Stache 5 - 2017,52
Trek X-Caliber 7 - 2018,52
Heller Bloodhound Trail - 2018,52
Surly Straggler - 2018,52
Trek Domane AL 3 - 2018,52
Trek Precaliber 12 Boy's - 2018,52
Electra Townie Balloon 8D EQ - 2016/2017/2018,52
Trek Conduit+ - 2016,51
Haro SR 1.1 - 2017,51
Electra Townie Original 7D EQ Ladies' - 2017/2018,51
"Electra Under-The-Sea 1 16"" - 2018",51
Haro Shredder 20 - 2017,50
Trek Emonda SL 7 - 2018,50
Trek Precaliber 24 7-speed Girl's - 2018,50
Surly Straggler - 2016,49
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,49
Surly Steamroller - 2017,49
Electra Cruiser Lux 1 - 2017,49
"Electra Girl's Hawaii 1 16"" - 2017",49
Electra Daydreamer 3i Ladies' - 2018,49
Electra Townie Commute 8D - 2018,49
Electra Townie Original 21D - 2016,48
Electra Cruiser 1 (24-Inch) - 2016,48
Sun Bicycles Lil Kitt'n - 2017,48
Trek Boone 5 Disc - 2018,48
"Electra Treasure 1 20"" - 2018",48
Electra Townie Go! 8i - 2017/2018,48
Haro Flightline One ST - 2017,47
Electra Straight 8 3i (20-inch) - Boy's - 2017,47
Trek CrossRip+ - 2018,47
Electra Delivery 3i - 2016/2017/2018,47
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,47
Electra Townie Original 21D - 2018,47
