order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8
