store_name,product_name,quantity,category_name
Baldwin Bikes,Electra Townie Original 21D - 2018,0,Comfort Bicycles
Santa Cruz Bikes,Electra Townie Original 1 - 2018,0,Comfort Bicycles
Rowlett Bikes,Electra Townie Original 1 Ladies' - 2018,0,Comfort Bicycles
Baldwin Bikes,Sun Bicycles Streamway 3 - 2017,1,Comfort Bicycles
Rowlett Bikes,Sun Bicycles Streamway 7 - 2017,1,Comfort Bicycles
Rowlett Bikes,Sun Bicycles Cruz 3 - 2017,1,Comfort Bicycles
Santa Cruz Bikes,Sun Bicycles Drifter 7 - 2017,1,Comfort Bicycles
Baldwin Bikes,Electra Townie Original 7D EQ - 2016,2,Comfort Bicycles
Baldwin Bikes,Electra Townie Commute 8D Ladies' - 2018,2,Comfort Bicycles
Baldwin Bikes,Sun Bicycles Streamway 7 - 2017,3,Comfort Bicycles
