category_name,brand_name,total_orders,total_units_sold,total_revenue
Mountain Bikes,Trek,511,752,1847700.4551999974
Road Bikes,Trek,319,482,1596620.1823999982
Electric Bikes,Trek,178,269,838371.5889000008
Cruisers Bicycles,Electra,883,1329,694909.1284000041
Mountain Bikes,Surly,352,526,441384.13670000056
Cyclocross Bicycles,Surly,198,305,439644.6210000003
Comfort Bicycles,Electra,346,524,271542.0785999998
Cyclocross Bicycles,Trek,58,89,271367.21489999985
Children Bicycles,Electra,490,747,207605.7199000001
Mountain Bikes,Heller,97,138,171459.07569999993
