month,total_sales
2016-01-01,215146.42409999995
2016-02-01,156112.32280000002
2016-03-01,180600.3285
2016-04-01,167144.0512
2016-05-01,205270.00909999997
2016-06-01,210562.12449999986
2016-07-01,199556.8088999999
2016-08-01,225657.3766999999
2016-09-01,273091.60970000003
2016-10-01,212078.08050000004
2016-11-01,182329.41239999997
2016-12-01,199829.97919999994
2017-01-01,285616.48399999994
2017-02-01,312923.7470000001
2017-03-01,308911.9018000001
2017-04-01,227290.9130999999
2017-05-01,268233.2378999999
2017-06-01,378865.65350000025
2017-07-01,229995.39789999998
2017-08-01,290553.45540000015
2017-09-01,293405.25610000035
2017-10-01,310328.3090000003
2017-11-01,281577.90189999994
2017-12-01,259505.98489999995
2018-01-01,381430.09930000023
2018-02-01,200658.0615
2018-03-01,363990.9935000003
2018-04-01,817921.8604000009
2018-06-01,188.991
2018-07-01,11337.9002
2018-08-01,8377.8147
2018-09-01,8963.9647
2018-10-01,3781.1283999999996
2018-11-01,11362.007099999999
2018-12-01,6516.9667
