product_id,product_name,original_price,discounted_price,discount,units_sold,total_revenue_before_discount,total_revenue_after_discount
4,Trek Fuel EX 8 29 - 2016,2899.99,2319.9919999999997,0.2,45,130499.54999999999,104399.63999999996
7,Trek Slash 8 27.5 - 2016,3999.99,3199.992,0.2,32,127999.68,102399.74399999996
9,Trek Conduit+ - 2016,2999.99,2399.9919999999997,0.2,35,104999.64999999998,83999.71999999996
7,Trek Slash 8 27.5 - 2016,3999.99,3599.991,0.1,35,139999.65,125999.68499999998
56,Trek Domane SLR 6 Disc - 2017,5499.99,4399.992,0.2,12,65999.88,52799.903999999995
9,Trek Conduit+ - 2016,2999.99,2699.991,0.1,43,128999.56999999999,116099.61299999998
62,Trek Boone 7 - 2017,3499.99,2799.992,0.2,18,62999.81999999999,50399.856
11,Surly Straggler 650b - 2016,1680.99,1344.7920000000001,0.2,37,62196.63,49757.304000000026
10,Surly Straggler - 2016,1549.0,1239.2,0.2,40,61960.0,49567.99999999999
7,Trek Slash 8 27.5 - 2016,3999.99,3719.9906999999994,0.07,43,171999.57,159959.60009999995
5,Heller Shagamaw Frame - 2016,1320.99,1056.7920000000001,0.2,40,52839.600000000006,42271.680000000015
49,Trek Domane SL 6 - 2017,3499.99,2799.992,0.2,15,52499.84999999999,41999.880000000005
7,Trek Slash 8 27.5 - 2016,3999.99,3799.9904999999994,0.05,44,175999.55999999994,167199.5819999999
8,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1439.9920000000002,0.2,24,43199.76000000001,34559.808000000005
40,Trek Fuel EX 9.8 29 - 2017,4999.99,3999.992,0.2,8,39999.92,31999.936
58,Trek Madone 9.2 - 2017,4999.99,3999.992,0.2,8,39999.92,31999.936
3,Surly Wednesday Frameset - 2016,999.99,799.9920000000001,0.2,38,37999.619999999995,30399.695999999996
4,Trek Fuel EX 8 29 - 2016,2899.99,2609.991,0.1,26,75399.74,67859.766
4,Trek Fuel EX 8 29 - 2016,2899.99,2696.9907,0.07,37,107299.62999999999,99788.6559
42,Trek Fuel EX 5 27.5 Plus - 2017,2299.99,1839.992,0.2,16,36799.84,29439.871999999996
50,Trek Silque SLR 7 Women's - 2017,5999.99,4799.992,0.2,6,35999.94,28799.952
11,Surly Straggler 650b - 2016,1680.99,1512.891,0.1,42,70601.58,63541.422000000006
51,Trek Silque SLR 8 Women's - 2017,6499.99,5849.991,0.1,10,64999.899999999994,58499.91
61,Trek Powerfly 8 FS Plus - 2017,4999.99,4499.991,0.1,13,64999.86999999998,58499.883
55,Trek Domane S 6 - 2017,2699.99,2159.9919999999997,0.2,12,32399.879999999997,25919.903999999995
16,Electra Townie Original 7D EQ - 2016,599.99,479.992,0.2,54,32399.459999999995,25919.568000000003
9,Trek Conduit+ - 2016,2999.99,2789.9907,0.07,30,89999.69999999998,83699.72099999999
8,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1619.991,0.1,32,57599.67999999999,51839.712000000014
58,Trek Madone 9.2 - 2017,4999.99,4649.990699999999,0.07,16,79999.84,74399.8512
9,Trek Conduit+ - 2016,2999.99,2849.9905,0.05,37,110999.62999999999,105449.6485
56,Trek Domane SLR 6 Disc - 2017,5499.99,5114.990699999999,0.07,14,76999.86,71609.86979999999
47,Trek Remedy 9.8 - 2017,5299.99,4239.992,0.2,5,26499.949999999997,21199.96
43,Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,4769.991,0.1,10,52999.89999999999,47699.91000000001
11,Surly Straggler 650b - 2016,1680.99,1563.3207,0.07,45,75644.55,70349.43149999998
4,Trek Fuel EX 8 29 - 2016,2899.99,2754.9905,0.05,35,101499.64999999998,96424.6675
40,Trek Fuel EX 9.8 29 - 2017,4999.99,4499.991,0.1,10,49999.9,44999.909999999996
10,Surly Straggler - 2016,1549.0,1394.1000000000001,0.1,31,48019.0,43217.099999999984
155,Trek Domane SLR 9 Disc - 2018,11999.99,10799.991,0.1,4,47999.96,43199.964
2,Ritchey Timberwolf Frameset - 2016,749.99,599.9920000000001,0.2,32,23999.680000000004,19199.744000000002
20,Electra Townie Original 7D EQ - Women's - 2016,599.99,479.992,0.2,40,23999.600000000006,19199.68
59,Trek Domane S 5 Disc - 2017,2599.99,2079.9919999999997,0.2,9,23399.91,18719.927999999996
50,Trek Silque SLR 7 Women's - 2017,5999.99,5579.990699999999,0.07,11,65999.89,61379.897699999994
51,Trek Silque SLR 8 Women's - 2017,6499.99,6044.990699999999,0.07,10,64999.899999999994,60449.907
28,Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,1999.992,0.2,9,22499.909999999996,17999.928
5,Heller Shagamaw Frame - 2016,1320.99,1188.891,0.1,34,44913.66000000001,40422.294
