product_id,product_name,brand_name,category_name,current_stock,total_orders,total_units_sold,avg_order_size,list_price,total_revenue,stock_status
7,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,8.0,202,308.0,1.5247524752475248,3999.99,1111117.22,Sufficient Stock
7,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,12.0,101,154.0,1.5247524752475248,3999.99,555558.61,Sufficient Stock
9,Trek Conduit+ - 2016,Trek,Electric Bikes,11.0,101,145.0,1.4356435643564356,2999.99,389248.7,Sufficient Stock
9,Trek Conduit+ - 2016,Trek,Electric Bikes,17.0,101,145.0,1.4356435643564356,2999.99,389248.7,Sufficient Stock
9,Trek Conduit+ - 2016,Trek,Electric Bikes,23.0,101,145.0,1.4356435643564356,2999.99,389248.7,Sufficient Stock
4,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,2.0,97,143.0,1.4742268041237114,2899.99,368472.73,Medium Stock
4,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,11.0,97,143.0,1.4742268041237114,2899.99,368472.73,Sufficient Stock
4,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,23.0,97,143.0,1.4742268041237114,2899.99,368472.73,Sufficient Stock
51,Trek Silque SLR 8 Women's - 2017,Trek,Road Bikes,2.0,38,58.0,1.5263157894736843,6499.99,349049.46,Medium Stock
43,Trek Fuel EX 9.8 27.5 Plus - 2017,Trek,Mountain Bikes,2.0,50,66.0,1.32,5299.99,318105.4,Medium Stock
62,Trek Boone 7 - 2017,Trek,Cyclocross Bicycles,4.0,50,84.0,1.68,3499.99,255219.27,Medium Stock
49,Trek Domane SL 6 - 2017,Trek,Road Bikes,4.0,44,74.0,1.6818181818181819,3499.99,227289.35,Medium Stock
11,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,8.0,97,151.0,1.556701030927835,1680.99,226765.55,Sufficient Stock
11,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,21.0,97,151.0,1.556701030927835,1680.99,226765.55,Sufficient Stock
11,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,30.0,97,151.0,1.556701030927835,1680.99,226765.55,Sufficient Stock
56,Trek Domane SLR 6 Disc - 2017,Trek,Road Bikes,15.0,28,43.0,1.5357142857142858,5499.99,211584.62,Sufficient Stock
56,Trek Domane SLR 6 Disc - 2017,Trek,Road Bikes,19.0,28,43.0,1.5357142857142858,5499.99,211584.62,Sufficient Stock
56,Trek Domane SLR 6 Disc - 2017,Trek,Road Bikes,20.0,28,43.0,1.5357142857142858,5499.99,211584.62,Sufficient Stock
10,Surly Straggler - 2016,Surly,Cyclocross Bicycles,13.0,97,147.0,1.5154639175257731,1549.0,203507.62,Sufficient Stock
10,Surly Straggler - 2016,Surly,Cyclocross Bicycles,15.0,97,147.0,1.5154639175257731,1549.0,203507.62,Sufficient Stock
10,Surly Straggler - 2016,Surly,Cyclocross Bicycles,21.0,97,147.0,1.5154639175257731,1549.0,203507.62,Sufficient Stock
8,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,0.0,85,125.0,1.4705882352941178,1799.99,203380.87,Out of Stock
8,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,1.0,85,125.0,1.4705882352941178,1799.99,203380.87,Low Stock
