product_id,product_name,revenue,revenue_percentage
7,Trek Slash 8 27.5 - 2016,555558.6111,7.23
9,Trek Conduit+ - 2016,389248.7025,5.06
4,Trek Fuel EX 8 29 - 2016,368472.7293999999,4.79
11,Surly Straggler 650b - 2016,226765.55099999998,2.95
56,Trek Domane SLR 6 Disc - 2017,211584.61529999995,2.75
8,Trek Remedy 29 Carbon Frameset - 2016,203380.8700999998,2.65
10,Surly Straggler - 2016,203507.6200000001,2.65
61,Trek Powerfly 8 FS Plus - 2017,188249.62349999993,2.45
58,Trek Madone 9.2 - 2017,175899.64819999997,2.29
51,Trek Silque SLR 8 Women's - 2017,174524.7315,2.27
