store_name,category_name,total_quantity
Baldwin Bikes,Cruisers Bicycles,1396
Baldwin Bikes,Mountain Bikes,1170
Baldwin Bikes,Children Bicycles,811
Baldwin Bikes,Comfort Bicycles,555
Baldwin Bikes,Road Bikes,374
Baldwin Bikes,Cyclocross Bicycles,271
Baldwin Bikes,Electric Bikes,202
Rowlett Bikes,Cruisers Bicycles,245
Rowlett Bikes,Mountain Bikes,197
Rowlett Bikes,Children Bicycles,117
Rowlett Bikes,Comfort Bicycles,87
Rowlett Bikes,Road Bikes,72
Rowlett Bikes,Electric Bikes,33
Rowlett Bikes,Cyclocross Bicycles,32
Santa Cruz Bikes,Cruisers Bicycles,422
Santa Cruz Bikes,Mountain Bikes,388
Santa Cruz Bikes,Children Bicycles,251
Santa Cruz Bikes,Comfort Bicycles,171
Santa Cruz Bikes,Road Bikes,113
Santa Cruz Bikes,Cyclocross Bicycles,91
Santa Cruz Bikes,Electric Bikes,80
