product_name,total_quantity_sold
Electra Townie Original 21D - 2016,8908
Electra Townie Original 7D EQ - 2016,8135
Electra Cruiser 1 (24-Inch) - 2016,7719
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,7186
Surly Straggler 650b - 2016,5723
Electra Townie Original 7D EQ - Women's - 2016,5460
Trek Conduit+ - 2016,5151
Surly Straggler - 2016,4753
Electra Townie Original 7D - 2015/2016,4214
Surly Ice Cream Truck Frameset - 2016,4180
Trek Fuel EX 8 29 - 2016,3492
Ritchey Timberwolf Frameset - 2016,3465
Pure Cycles William 3-Speed - 2016,3354
Pure Cycles Western 3-Speed - Women's - 2015/2016,3026
Surly Wednesday Frameset - 2016,2924
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2900
Trek Slash 8 27.5 - 2016,2828
Electra Moto 1 - 2016,2821
Electra Townie Original 7D - 2017,2715
"Electra Girl's Hawaii 1 16"" - 2017",2563
Pure Cycles Vine 8-Speed - 2016,2457
Sun Bicycles Cruz 3 - 2017,2375
Heller Shagamaw Frame - 2016,2366
Surly Troll Frameset - 2017,2001
Trek Powerfly 8 FS Plus - 2017,1950
Sun Bicycles Cruz 7 - 2017,1950
Sun Bicycles Atlas X-Type - 2017,1768
Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,1704
Surly Karate Monkey 27.5+ Frameset - 2017,1690
Sun Bicycles Cruz 7 - Women's - 2017,1580
Haro Shredder 20 Girls - 2017,1550
Surly Ice Cream Truck Frameset - 2017,1540
Electra Townie 3i EQ (20-inch) - Boys' - 2017,1540
Trek Domane SLR 6 Disc - 2017,1512
Electra Amsterdam Fashion 7i Ladies' - 2017,1488
Sun Bicycles Streamway - 2017,1460
Sun Bicycles Cruz 3 - Women's - 2017,1407
Electra Savannah 3i (20-inch) - Girl's - 2017,1386
Electra Glam Punk 3i Ladies' - 2017,1344
Haro Shredder 20 - 2017,1300
Surly Steamroller - 2017,1274
Trek X-Caliber 8 - 2017,1272
Trek Silque SLR 7 Women's - 2017,1220
Sun Bicycles Boardwalk (24-inch Wheels) - 2017,1136
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1134
Trek Madone 9.2 - 2017,1118
Trek Remedy 29 Carbon Frameset - 2016,1105
Surly Big Dummy Frameset - 2017,1092
Trek Precaliber 12 Boys - 2017,1083
Trek Girl's Kickster - 2017,1050
Haro SR 1.3 - 2017,1007
Trek Precaliber 12 Girls - 2017,989
Electra Townie 7D (20-inch) - Boys' - 2017,988
Haro Shift R3 - 2017,984
Sun Bicycles Biscayne Tandem CB - 2017,972
Haro Flightline Two 26 Plus - 2017,972
Sun Bicycles Lil Bolt Type-R - 2017,945
Haro Flightline One ST - 2017,940
Electra Cruiser Lux 1 - 2017,931
Haro SR 1.2 - 2017,928
Haro Downtown 16 - 2017,924
Sun Bicycles Revolutions 24 - 2017,888
Trek Fuel EX 9.8 29 - 2017,861
Electra Moto 3i (20-inch) - Boy's - 2017,860
Trek Boy's Kickster - 2015/2017,855
Sun Bicycles Brickell Tandem CB - 2017,840
Trek Stache 5 - 2017,832
Sun Bicycles Drifter 7 - Women's - 2017,828
Haro SR 1.1 - 2017,816
Sun Bicycles Spider 3i - 2017,782
Sun Bicycles Lil Kitt'n - 2017,768
Trek Emonda S 4 - 2017,756
Trek Fuel EX 9.8 27.5 Plus - 2017,750
Trek Boone 7 - 2017,725
Surly Ogre Frameset - 2017,714
Surly Wednesday Frameset - 2017,704
Trek Precaliber 16 Girls - 2017,702
Trek Precaliber 16 Boys - 2017,702
Trek Domane S 5 Disc - 2017,702
Sun Bicycles Streamway 3 - 2017,672
Sun Bicycles ElectroLite - 2017,648
Trek Fuel EX 5 27.5 Plus - 2017,600
Sun Bicycles Brickell Tandem 7 - 2017,600
Trek Farley Alloy Frameset - 2017,594
Electra Straight 8 3i (20-inch) - Boy's - 2017,564
Trek Emonda S 5 - 2017,555
Trek Domane S 6 - 2017,546
Electra Townie Commute Go! Ladies' - 2018,545
Sun Bicycles Revolutions 24 - Girl's - 2017,528
Trek Domane SL Disc Frameset - 2017,510
Trek Remedy 9.8 - 2017,490
Trek Precaliber 24 (21-Speed) - Girls - 2017,448
Haro Shredder Pro 20 - 2017,437
Trek Fuel EX 8 29 XT - 2018,375
Electra Townie Original 21D EQ - 2017/2018,368
Electra Cruiser Lux 1 Ladies' - 2018,366
Electra Townie Go! 8i Ladies' - 2018,360
Trek Boone Race Shop Limited - 2017,357
Trek Session DH 27.5 Carbon Frameset - 2017,352
Trek Domane SL 6 - 2017,352
Sun Bicycles Biscayne Tandem 7 - 2017,352
Trek XM700+ Lowstep - 2018,344
Surly Straggler - 2018,327
Trek Marlin 5 - 2018,324
Strider Strider 20 Sport - 2018,324
Strider Classic 12 Balance Bike - 2018,322
Electra Townie Balloon 7i EQ - 2018,322
Trek Super Commuter+ 7 - 2018,320
Trek Boone 7 Disc - 2018,320
Electra Townie Balloon 3i EQ Ladies' - 2018,318
Trek Domane SL 5 Disc - 2018,308
Trek Domane AL 2 Women's - 2018,308
Sun Bicycles Drifter 7 - 2017,304
Trek XM700+ - 2018,295
Surly ECR 27.5 - 2018,295
"Electra Treasure 1 20"" - 2018",288
Surly Wednesday - 2017,286
Electra Amsterdam Original 3i Ladies' - 2017,276
Trek Precaliber 16 Girl's - 2018,275
Sun Bicycles Streamway 7 - 2017,275
Trek Emonda ALR 6 - 2018,270
Surly Krampus - 2018,266
Trek Domane SL 7 Women's - 2018,265
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,264
"Electra Under-The-Sea 1 16"" - 2018",255
Electra Townie Original 7D EQ Ladies' - 2017/2018,255
Trek Remedy 7 27.5 - 2018,248
Electra Townie Commute 27D Ladies - 2018,248
Trek Farley Carbon Frameset - 2018,246
Electra Amsterdam Original 3i - 2015/2017,242
Electra Townie Commute 8D - 2018,238
Trek Verve+ - 2018,237
Trek Stache Carbon Frameset - 2018,236
Surly Big Fat Dummy Frameset - 2018,230
Trek Silque SLR 8 Women's - 2017,228
Electra Moto 3i - 2018,225
Trek Ticket S Frame - 2018,224
Electra Townie Balloon 8D EQ - 2016/2017/2018,218
Trek Fuel EX 8 29 - 2018,216
Electra Relic 3i - 2018,216
Trek Kickster - 2018,215
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,215
Trek Stache 5 - 2018,212
Trek Precaliber 12 Boy's - 2018,208
Trek Kids' Neko - 2018,207
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,207
Electra Sweet Ride 3i (20-inch) - Girls' - 2018,204
Electra Water Lily 1 (16-inch) - Girl's - 2018,201
Electra Townie Commute Go! - 2018,200
Electra Daydreamer 3i Ladies' - 2018,196
Electra Townie Balloon 3i EQ - 2017/2018,195
Electra Cruiser Lux 1 - 2016/2018,189
Trek CrossRip+ - 2018,188
Electra Delivery 3i - 2016/2017/2018,188
Trek X-Caliber Frameset - 2018,180
Trek Dual Sport+ - 2018,177
Electra Loft Go! 8i - 2018,177
Electra Tiger Shark 1 (20-inch) - Boys' - 2018,176
Electra White Water 3i - 2018,172
Trek Lift+ - 2018,168
Trek Domane SL 6 - 2018,168
Trek Domane SL 5 - 2018,168
Trek Domane ALR Disc Frameset - 2018,164
Surly Pack Rat - 2018,164
Electra Tiger Shark 3i - 2018,164
Trek Precaliber 20 Girl's - 2018,162
Trek Domane SLR 9 Disc - 2018,162
Trek Verve+ Lowstep - 2018,160
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,160
Trek X-Caliber 7 - 2018,156
Trek Domane ALR 5 Disc - 2018,156
Electra Heartchya 1 (20-inch) - Girl's - 2018,156
Electra Cruiser Lux 3i - 2018,156
Trek Emonda SL 7 - 2018,150
Electra Townie Original 21D EQ Ladies' - 2018,144
Trek Marlin 7 - 2017/2018,142
