brand_name,category_name,product_count
Electra,Children Bicycles,28
Electra,Comfort Bicycles,21
Electra,Cruisers Bicycles,64
Electra,Electric Bikes,5
Haro,Children Bicycles,4
Haro,Mountain Bikes,6
Heller,Mountain Bikes,3
Pure Cycles,Cruisers Bicycles,3
Ritchey,Mountain Bikes,1
Strider,Children Bicycles,3
Sun Bicycles,Children Bicycles,1
Sun Bicycles,Comfort Bicycles,9
Sun Bicycles,Cruisers Bicycles,11
Sun Bicycles,Electric Bikes,1
Sun Bicycles,Mountain Bikes,1
Surly,Cyclocross Bicycles,4
Surly,Mountain Bikes,14
Surly,Road Bikes,7
Trek,Children Bicycles,23
Trek,Cyclocross Bicycles,6
Trek,Electric Bikes,18
Trek,Mountain Bikes,35
Trek,Road Bikes,53
