product_name,store_name,total_quantity_sold
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Baldwin Bikes,5
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Rowlett Bikes,5
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,Santa Cruz Bikes,5
Electra Amsterdam Fashion 7i Ladies' - 2017,Baldwin Bikes,40
Electra Amsterdam Fashion 7i Ladies' - 2017,Rowlett Bikes,40
Electra Amsterdam Fashion 7i Ladies' - 2017,Santa Cruz Bikes,40
Electra Amsterdam Original 3i - 2015/2017,Baldwin Bikes,32
Electra Amsterdam Original 3i - 2015/2017,Rowlett Bikes,32
Electra Amsterdam Original 3i - 2015/2017,Santa Cruz Bikes,32
Electra Amsterdam Original 3i Ladies' - 2017,Baldwin Bikes,31
Electra Amsterdam Original 3i Ladies' - 2017,Rowlett Bikes,31
Electra Amsterdam Original 3i Ladies' - 2017,Santa Cruz Bikes,31
Electra Amsterdam Royal 8i - 2017/2018,Baldwin Bikes,1
Electra Amsterdam Royal 8i - 2017/2018,Rowlett Bikes,1
Electra Amsterdam Royal 8i - 2017/2018,Santa Cruz Bikes,1
Electra Amsterdam Royal 8i Ladies - 2018,Baldwin Bikes,3
Electra Amsterdam Royal 8i Ladies - 2018,Rowlett Bikes,3
Electra Amsterdam Royal 8i Ladies - 2018,Santa Cruz Bikes,3
Electra Cruiser 1 (24-Inch) - 2016,Baldwin Bikes,296
Electra Cruiser 1 (24-Inch) - 2016,Rowlett Bikes,296
Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,296
Electra Cruiser 1 - 2016/2017/2018,Baldwin Bikes,7
Electra Cruiser 1 - 2016/2017/2018,Rowlett Bikes,7
Electra Cruiser 1 - 2016/2017/2018,Santa Cruz Bikes,7
Electra Cruiser 1 Ladies' - 2018,Baldwin Bikes,6
Electra Cruiser 1 Ladies' - 2018,Rowlett Bikes,6
Electra Cruiser 1 Ladies' - 2018,Santa Cruz Bikes,6
Electra Cruiser 1 Tall - 2016/2018,Baldwin Bikes,1
Electra Cruiser 1 Tall - 2016/2018,Rowlett Bikes,1
Electra Cruiser 1 Tall - 2016/2018,Santa Cruz Bikes,1
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,Baldwin Bikes,7
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,Rowlett Bikes,7
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,Santa Cruz Bikes,7
Electra Cruiser 7D - 2016/2017/2018,Baldwin Bikes,1
Electra Cruiser 7D - 2016/2017/2018,Rowlett Bikes,1
Electra Cruiser 7D - 2016/2017/2018,Santa Cruz Bikes,1
Electra Cruiser 7D Ladies' - 2016/2018,Baldwin Bikes,2
Electra Cruiser 7D Ladies' - 2016/2018,Rowlett Bikes,2
Electra Cruiser 7D Ladies' - 2016/2018,Santa Cruz Bikes,2
Electra Cruiser 7D Tall - 2016/2018,Baldwin Bikes,3
Electra Cruiser 7D Tall - 2016/2018,Rowlett Bikes,3
Electra Cruiser 7D Tall - 2016/2018,Santa Cruz Bikes,3
Electra Cruiser Lux 1 - 2016/2018,Baldwin Bikes,6
Electra Cruiser Lux 1 - 2016/2018,Rowlett Bikes,6
Electra Cruiser Lux 1 - 2016/2018,Santa Cruz Bikes,6
Electra Cruiser Lux 1 - 2017,Baldwin Bikes,26
Electra Cruiser Lux 1 - 2017,Rowlett Bikes,26
Electra Cruiser Lux 1 - 2017,Santa Cruz Bikes,26
Electra Cruiser Lux 1 Ladies' - 2018,Baldwin Bikes,10
Electra Cruiser Lux 1 Ladies' - 2018,Rowlett Bikes,10
Electra Cruiser Lux 1 Ladies' - 2018,Santa Cruz Bikes,10
Electra Cruiser Lux 3i - 2018,Baldwin Bikes,7
Electra Cruiser Lux 3i - 2018,Rowlett Bikes,7
Electra Cruiser Lux 3i - 2018,Santa Cruz Bikes,7
Electra Cruiser Lux 3i Ladies' - 2018,Baldwin Bikes,4
Electra Cruiser Lux 3i Ladies' - 2018,Rowlett Bikes,4
Electra Cruiser Lux 3i Ladies' - 2018,Santa Cruz Bikes,4
Electra Cruiser Lux 7D - 2018,Baldwin Bikes,4
Electra Cruiser Lux 7D - 2018,Rowlett Bikes,4
Electra Cruiser Lux 7D - 2018,Santa Cruz Bikes,4
Electra Cruiser Lux 7D Ladies' - 2018,Baldwin Bikes,2
Electra Cruiser Lux 7D Ladies' - 2018,Rowlett Bikes,2
Electra Cruiser Lux 7D Ladies' - 2018,Santa Cruz Bikes,2
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,Baldwin Bikes,27
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,Rowlett Bikes,27
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,Santa Cruz Bikes,27
Electra Cruiser Lux Fat Tire 7D - 2018,Baldwin Bikes,3
Electra Cruiser Lux Fat Tire 7D - 2018,Rowlett Bikes,3
Electra Cruiser Lux Fat Tire 7D - 2018,Santa Cruz Bikes,3
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,Baldwin Bikes,8
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,Rowlett Bikes,8
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,Santa Cruz Bikes,8
Electra Daydreamer 3i Ladies' - 2018,Baldwin Bikes,6
Electra Daydreamer 3i Ladies' - 2018,Rowlett Bikes,6
Electra Daydreamer 3i Ladies' - 2018,Santa Cruz Bikes,6
Electra Delivery 3i - 2016/2017/2018,Baldwin Bikes,6
Electra Delivery 3i - 2016/2017/2018,Rowlett Bikes,6
Electra Delivery 3i - 2016/2017/2018,Santa Cruz Bikes,6
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Baldwin Bikes,269
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Rowlett Bikes,269
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,269
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Baldwin Bikes,154
