category_name,brand_name,total_revenue
Mountain Bikes,Trek,2059032.479999994
Road Bikes,Trek,1775765.1799999962
Electric Bikes,Trek,932197.3099999983
Cruisers Bicycles,Electra,775546.619999993
Mountain Bikes,Surly,493969.90999999817
Cyclocross Bicycles,Surly,492375.48999999935
Cyclocross Bicycles,Trek,307499.1099999998
Comfort Bicycles,Electra,301364.7599999996
Children Bicycles,Electra,232232.5300000002
Mountain Bikes,Heller,193798.71000000008
Mountain Bikes,Haro,173818.05000000002
Cruisers Bicycles,Sun Bicycles,167440.4200000001
Cruisers Bicycles,Pure Cycles,166164.0
Comfort Bicycles,Sun Bicycles,137142.11000000007
Mountain Bikes,Ritchey,88498.82
Road Bikes,Surly,76790.42
Children Bicycles,Trek,54887.53000000005
Electric Bikes,Sun Bicycles,53039.659999999996
Electric Bikes,Electra,34999.88
Children Bicycles,Haro,33278.64000000003
Mountain Bikes,Sun Bicycles,21657.74
Children Bicycles,Strider,4849.75
Children Bicycles,Sun Bicycles,2639.7599999999998
