product_id,product_name,quantity_sold,list_price,discount,total_revenue_before_discount,total_revenue_after_discount,revenue_difference
20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.2,599.99,479.992,119.99799999999999
8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.07,3599.98,3347.9813999999997,251.99860000000035
10,Surly Straggler - 2016,2,1549.0,0.05,3098.0,2943.1,154.9000000000001
16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1199.98,1139.981,59.999000000000024
4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.2,2899.99,2319.9919999999997,579.998
20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.07,599.99,557.9907,41.99930000000006
16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1199.98,1139.981,59.999000000000024
3,Surly Wednesday Frameset - 2016,1,999.99,0.05,999.99,949.9905,49.99950000000001
20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.05,599.99,569.9905,29.999500000000012
2,Ritchey Timberwolf Frameset - 2016,2,749.99,0.1,1499.98,1349.982,149.99800000000005
10,Surly Straggler - 2016,2,1549.0,0.05,3098.0,2943.1,154.9000000000001
17,Pure Cycles Vine 8-Speed - 2016,1,429.0,0.07,429.0,398.96999999999997,30.03000000000003
26,Electra Townie Original 7D EQ - 2016,1,599.99,0.07,599.99,557.9907,41.99930000000006
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,449.0,0.07,449.0,417.57,31.430000000000007
12,Electra Townie Original 21D - 2016,2,549.99,0.05,1099.98,1044.981,54.999000000000024
20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.1,599.99,539.991,59.999000000000024
3,Surly Wednesday Frameset - 2016,2,999.99,0.07,1999.98,1859.9814,139.99860000000012
9,Trek Conduit+ - 2016,2,2999.99,0.07,5999.98,5579.9814,419.9985999999999
15,Electra Moto 1 - 2016,1,529.99,0.07,529.99,492.8907,37.09930000000003
3,Surly Wednesday Frameset - 2016,1,999.99,0.1,999.99,899.991,99.99900000000002
17,Pure Cycles Vine 8-Speed - 2016,2,429.0,0.1,858.0,772.2,85.79999999999995
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,269.99,0.05,269.99,256.4905,13.499500000000012
20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.07,1199.98,1115.9814,83.99860000000012
7,Trek Slash 8 27.5 - 2016,2,3999.99,0.1,7999.98,7199.982,799.9979999999996
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,269.99,0.1,269.99,242.991,26.998999999999995
8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.05,1799.99,1709.9904999999999,89.99950000000013
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,269.99,0.1,539.98,485.982,53.99799999999999
16,Electra Townie Original 7D EQ - 2016,2,599.99,0.2,1199.98,959.984,239.99599999999998
4,Trek Fuel EX 8 29 - 2016,2,2899.99,0.1,5799.98,5219.982,579.9979999999996
11,Surly Straggler 650b - 2016,1,1680.99,0.05,1680.99,1596.9405,84.04950000000008
13,Electra Cruiser 1 (24-Inch) - 2016,1,269.99,0.1,269.99,242.991,26.998999999999995
17,Pure Cycles Vine 8-Speed - 2016,2,429.0,0.05,858.0,815.0999999999999,42.90000000000009
20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.1,1199.98,1079.982,119.99800000000005
16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1199.98,1139.981,59.999000000000024
6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.07,469.99,437.09069999999997,32.89930000000004
12,Electra Townie Original 21D - 2016,2,549.99,0.07,1099.98,1022.9813999999999,76.99860000000012
8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.07,1799.99,1673.9906999999998,125.99930000000018
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,449.0,0.05,898.0,853.0999999999999,44.90000000000009
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,299.99,0.2,599.98,479.98400000000004,119.99599999999998
8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.2,1799.99,1439.9920000000002,359.9979999999998
21,Electra Cruiser 1 (24-Inch) - 2016,1,269.99,0.05,269.99,256.4905,13.499500000000012
13,Electra Cruiser 1 (24-Inch) - 2016,2,269.99,0.07,539.98,502.1814,37.79860000000002
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,269.99,0.07,269.99,251.0907,18.89930000000001
8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.07,1799.99,1673.9906999999998,125.99930000000018
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,299.99,0.1,299.99,269.99100000000004,29.998999999999967
5,Heller Shagamaw Frame - 2016,1,1320.99,0.1,1320.99,1188.891,132.09899999999993
20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.2,1199.98,959.984,239.99599999999998
2,Ritchey Timberwolf Frameset - 2016,2,749.99,0.2,1499.98,1199.9840000000002,299.99599999999987
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,269.99,0.05,269.99,256.4905,13.499500000000012
7,Trek Slash 8 27.5 - 2016,1,3999.99,0.1,3999.99,3599.991,399.9989999999998
25,Electra Townie Original 7D - 2015/2016,2,499.99,0.05,999.98,949.981,49.999000000000024
9,Trek Conduit+ - 2016,2,2999.99,0.1,5999.98,5399.982,599.9979999999996
10,Surly Straggler - 2016,1,1549.0,0.07,1549.0,1440.57,108.43000000000006
9,Trek Conduit+ - 2016,2,2999.99,0.2,5999.98,4799.9839999999995,1199.996
9,Trek Conduit+ - 2016,1,2999.99,0.07,2999.99,2789.9907,209.99929999999995
